No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
59;Telur Ayam;28/12/2018;Jawa Barat;Kota Bandung;Pasar Kosambi;27000
60;Telur Ayam;28/12/2018;Jawa Barat;Kota Bandung;Pasar Kiara Condong;27000
61;Telur Ayam;28/12/2018;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;25250
62;Telur Ayam;28/12/2018;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;25250
63;Telur Ayam;28/12/2018;Jawa Barat;Kota Bogor;Pasar Anyar;27000
64;Telur Ayam;28/12/2018;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;26500
65;Telur Ayam;28/12/2018;Jawa Barat;Kota Cirebon;Pasar Kanoman;26750
66;Telur Ayam;28/12/2018;Jawa Barat;Kota Cirebon;Pasar Kramat;27000
67;Telur Ayam;28/12/2018;Jawa Barat;Kota Sukabumi;Pasar Gudang;26750
68;Telur Ayam;28/12/2018;Jawa Barat;Kota Sukabumi;Pasar Pelita;27000
69;Telur Ayam;28/12/2018;Jawa Barat;Kab. Cirebon;Pasar Weru;27000
70;Telur Ayam;28/12/2018;Jawa Barat;Kab. Cirebon;Pasar Mundu;27000
71;Telur Ayam;28/12/2018;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;25750
72;Telur Ayam;28/12/2018;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;25750
73;Telur Ayam;31/12/2018;Jawa Barat;Kota Bekasi;Pasar Kranji;26500
74;Telur Ayam;31/12/2018;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;27000
75;Telur Ayam;31/12/2018;Jawa Barat;Kota Depok;Pasar Agung;26250
76;Telur Ayam;31/12/2018;Jawa Barat;Kota Depok;Pasar Cisalak;27000
77;Telur Ayam;31/12/2018;Jawa Barat;Kota Bandung;Pasar Kosambi;27500
78;Telur Ayam;31/12/2018;Jawa Barat;Kota Bandung;Pasar Kiara Condong;27000
79;Telur Ayam;31/12/2018;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;25250
80;Telur Ayam;31/12/2018;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;25000
81;Telur Ayam;31/12/2018;Jawa Barat;Kota Bogor;Pasar Anyar;27000
82;Telur Ayam;31/12/2018;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;27500
