No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
10737;Cabai Rawit Merah;14/04/2021;Jawa Barat;Kota Bogor;Pasar Anyar;72500
10738;Cabai Rawit Merah;14/04/2021;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;80000
10739;Cabai Rawit Merah;14/04/2021;Jawa Barat;Kota Cirebon;Pasar Kanoman;90000
10740;Cabai Rawit Merah;14/04/2021;Jawa Barat;Kota Cirebon;Pasar Kramat;90000
10741;Cabai Rawit Merah;14/04/2021;Jawa Barat;Kota Sukabumi;Pasar Gudang;-
10742;Cabai Rawit Merah;14/04/2021;Jawa Barat;Kota Sukabumi;Pasar Pelita;77500
10743;Cabai Rawit Merah;14/04/2021;Jawa Barat;Kab. Cirebon;Pasar Weru;90000
10744;Cabai Rawit Merah;14/04/2021;Jawa Barat;Kab. Cirebon;Pasar Mundu;90000
10745;Cabai Rawit Merah;14/04/2021;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;75000
10746;Cabai Rawit Merah;14/04/2021;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;80000
10747;Cabai Rawit Merah;15/04/2021;Jawa Barat;Kota Bekasi;Pasar Kranji;80000
10748;Cabai Rawit Merah;15/04/2021;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;80000
10749;Cabai Rawit Merah;15/04/2021;Jawa Barat;Kota Depok;Pasar Agung;80000
10750;Cabai Rawit Merah;15/04/2021;Jawa Barat;Kota Depok;Pasar Cisalak;80000
10751;Cabai Rawit Merah;15/04/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;80000
10752;Cabai Rawit Merah;15/04/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;70000
10753;Cabai Rawit Merah;15/04/2021;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;70000
10754;Cabai Rawit Merah;15/04/2021;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;72500
10755;Cabai Rawit Merah;15/04/2021;Jawa Barat;Kota Bogor;Pasar Anyar;72500
10756;Cabai Rawit Merah;15/04/2021;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;80000
10757;Cabai Rawit Merah;15/04/2021;Jawa Barat;Kota Cirebon;Pasar Kanoman;90000
10758;Cabai Rawit Merah;15/04/2021;Jawa Barat;Kota Cirebon;Pasar Kramat;90000
10759;Cabai Rawit Merah;15/04/2021;Jawa Barat;Kota Sukabumi;Pasar Gudang;77500
10760;Cabai Rawit Merah;15/04/2021;Jawa Barat;Kota Sukabumi;Pasar Pelita;77500
10761;Cabai Rawit Merah;15/04/2021;Jawa Barat;Kab. Cirebon;Pasar Weru;90000
10762;Cabai Rawit Merah;15/04/2021;Jawa Barat;Kab. Cirebon;Pasar Mundu;90000
10763;Cabai Rawit Merah;15/04/2021;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;75000
10764;Cabai Rawit Merah;15/04/2021;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;80000
10765;Cabai Rawit Merah;16/04/2021;Jawa Barat;Kota Bekasi;Pasar Kranji;72500
10766;Cabai Rawit Merah;16/04/2021;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;75000
10767;Cabai Rawit Merah;16/04/2021;Jawa Barat;Kota Depok;Pasar Agung;80000
10768;Cabai Rawit Merah;16/04/2021;Jawa Barat;Kota Depok;Pasar Cisalak;82500
10769;Cabai Rawit Merah;16/04/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;80000
10770;Cabai Rawit Merah;16/04/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;70000
10771;Cabai Rawit Merah;16/04/2021;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;70000
10772;Cabai Rawit Merah;16/04/2021;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;70000
10773;Cabai Rawit Merah;16/04/2021;Jawa Barat;Kota Bogor;Pasar Anyar;69000
10774;Cabai Rawit Merah;16/04/2021;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;82500
